threshold,scenario_id,run,input_tokens,entities_retrieved
0.5,1,1,619,10
0.5,1,2,619,10
0.5,1,3,619,10
0.5,2,1,618,10
0.5,2,2,618,10
0.5,2,3,618,10
0.5,3,1,630,10
0.5,3,2,630,10
0.5,3,3,630,10
0.5,4,1,624,10
0.5,4,2,624,10
0.5,4,3,624,10
0.5,5,1,618,10
0.5,5,2,618,10
0.5,5,3,618,10
0.65,1,1,619,10
0.65,1,2,619,10
0.65,1,3,619,10
0.65,2,1,618,10
0.65,2,2,618,10
0.65,2,3,618,10
0.65,3,1,630,10
0.65,3,2,630,10
0.65,3,3,630,10
0.65,4,1,624,10
0.65,4,2,624,10
0.65,4,3,624,10
0.65,5,1,618,10
0.65,5,2,618,10
0.65,5,3,618,10
0.8,1,1,287,2
0.8,1,2,287,2
0.8,1,3,287,2
0.8,2,1,326,2
0.8,2,2,326,2
0.8,2,3,326,2
0.8,3,1,246,1
0.8,3,2,246,1
0.8,3,3,246,1
0.8,4,1,213,0
0.8,4,2,213,0
0.8,4,3,213,0
0.8,5,1,292,2
0.8,5,2,292,2
0.8,5,3,292,2
