temperature,scenario_id,run,output_tokens,latency
0.5,1,1,87,3.3431813716888428
0.5,1,2,134,11.561143159866333
0.5,1,3,162,6.10591983795166
0.5,2,1,194,7.587601184844971
0.5,2,2,209,18.10184335708618
0.5,2,3,216,7.381792306900024
0.5,3,1,246,7.929339408874512
0.5,3,2,257,9.118835687637329
0.5,3,3,295,9.904520034790039
0.5,4,1,270,20.85039210319519
0.5,4,2,245,12.138523817062378
0.5,4,3,222,7.561866998672485
0.5,5,1,128,5.958354234695435
0.5,5,2,129,5.5783467292785645
0.5,5,3,139,3.8723864555358887
0.8,1,1,151,5.087483167648315
0.8,1,2,104,3.9018120765686035
0.8,1,3,172,12.770743131637573
0.8,2,1,219,7.549571514129639
0.8,2,2,230,7.730735778808594
0.8,2,3,240,7.324004411697388
0.8,3,1,277,11.50386381149292
0.8,3,2,230,15.810232639312744
0.8,3,3,221,8.341146469116211
0.8,4,1,251,9.532336711883545
0.8,4,2,261,12.516497135162354
0.8,4,3,260,21.036906242370605
0.8,5,1,118,11.379553318023682
0.8,5,2,216,8.004621982574463
0.8,5,3,158,15.521615028381348
1.0,1,1,141,4.073214054107666
1.0,1,2,176,6.895069360733032
1.0,1,3,242,10.188108205795288
1.0,2,1,155,13.845601320266724
1.0,2,2,299,11.082603693008423
1.0,2,3,267,13.669543981552124
1.0,3,1,281,25.35701847076416
1.0,3,2,243,9.778008937835693
1.0,3,3,305,28.137165546417236
1.0,4,1,346,14.905505657196045
1.0,4,2,248,12.30827784538269
1.0,4,3,253,9.276784181594849
1.0,5,1,172,15.482768774032593
1.0,5,2,165,9.323702335357666
1.0,5,3,137,4.876832962036133
