config,scenario_id,run,input_tokens,output_tokens,total_tokens,latency,entities_retrieved
no_rag,1,1,5126,107,5233,5.694045305252075,366
no_rag,1,2,5126,156,5282,5.486067533493042,366
no_rag,1,3,5126,101,5227,15.035107135772705,366
no_rag,2,1,5125,238,5363,33.12612700462341,366
no_rag,2,2,5125,271,5396,16.028325080871582,366
no_rag,2,3,5125,213,5338,24.200653314590454,366
no_rag,3,1,5124,229,5353,8.260578393936157,366
no_rag,3,2,5124,216,5340,23.86873149871826,366
no_rag,3,3,5124,226,5350,8.122760534286499,366
no_rag,4,1,5126,234,5360,9.364619731903076,366
no_rag,4,2,5126,276,5402,23.48936414718628,366
no_rag,4,3,5126,231,5357,10.579643249511719,366
no_rag,5,1,5125,117,5242,5.818901538848877,366
no_rag,5,2,5125,171,5296,7.642110586166382,366
no_rag,5,3,5125,148,5273,6.689871072769165,366
no_rag,6,1,5126,139,5265,12.956390380859375,366
no_rag,6,2,5126,254,5380,17.116538763046265,366
no_rag,6,3,5126,87,5213,18.394869327545166,366
no_rag,7,1,5130,306,5436,27.48019051551819,366
no_rag,7,2,5130,285,5415,10.449433088302612,366
no_rag,7,3,5130,277,5407,9.960106134414673,366
no_rag,8,1,5127,145,5272,12.193520069122314,366
no_rag,8,2,5127,141,5268,6.797991752624512,366
no_rag,8,3,5127,197,5324,23.542262077331543,366
no_rag,9,1,5124,201,5325,7.510882377624512,366
no_rag,9,2,5124,293,5417,22.077430486679077,366
no_rag,9,3,5124,323,5447,29.695017099380493,366
no_rag,10,1,5128,206,5334,6.931698322296143,366
no_rag,10,2,5128,154,5282,6.433496952056885,366
no_rag,10,3,5128,259,5387,25.17529845237732,366
random,1,1,569,141,710,5.253904104232788,26
random,1,2,605,106,711,3.713212490081787,26
random,1,3,572,125,697,4.031360864639282,26
random,2,1,618,170,788,12.580893516540527,26
random,2,2,618,215,833,7.517715692520142,26
random,2,3,571,143,714,5.812323331832886,26
random,3,1,594,219,813,9.834381341934204,26
random,3,2,576,273,849,11.099325895309448,26
random,3,3,559,250,809,12.139925003051758,26
random,4,1,570,342,912,26.109471797943115,26
random,4,2,553,234,787,22.590131998062134,26
random,4,3,605,291,896,10.320592641830444,26
random,5,1,594,166,760,6.224067449569702,26
random,5,2,582,112,694,4.371827602386475,26
random,5,3,569,196,765,13.732925176620483,26
random,6,1,623,177,800,7.695572137832642,26
random,6,2,555,162,717,5.536061525344849,26
random,6,3,612,212,824,12.987818717956543,26
random,7,1,585,210,795,9.282569646835327,26
random,7,2,577,265,842,20.5862033367157,26
random,7,3,601,189,790,9.168126344680786,26
random,8,1,577,210,787,9.926347494125366,26
random,8,2,584,202,786,9.600638389587402,26
random,8,3,600,186,786,17.693305492401123,26
random,9,1,555,237,792,19.068746089935303,26
random,9,2,592,190,782,5.764426231384277,26
random,9,3,565,276,841,10.656167268753052,26
random,10,1,587,265,852,10.480824947357178,26
random,10,2,613,260,873,8.40853500366211,26
random,10,3,567,164,731,6.557368516921997,26
rag,1,1,598,173,771,6.267989158630371,25
rag,1,2,598,212,810,6.6203131675720215,25
rag,1,3,598,138,736,5.337687969207764,25
rag,2,1,640,170,810,8.540552854537964,25
rag,2,2,640,300,940,12.310055494308472,25
rag,2,3,640,156,796,15.022469758987427,25
rag,3,1,526,242,768,9.211260795593262,25
rag,3,2,526,193,719,16.47153329849243,25
rag,3,3,526,201,727,9.164038181304932,25
rag,4,1,532,326,858,21.96448040008545,25
rag,4,2,532,282,814,9.674203157424927,25
rag,4,3,532,336,868,26.614991188049316,25
rag,5,1,587,182,769,8.931493997573853,25
rag,5,2,587,196,783,14.719404220581055,25
rag,5,3,587,156,743,13.323276996612549,25
rag,6,1,562,216,778,8.728373527526855,25
rag,6,2,562,171,733,5.3971545696258545,25
rag,6,3,562,208,770,6.356964826583862,25
rag,7,1,539,238,777,20.865903615951538,25
rag,7,2,539,298,837,11.842255115509033,25
rag,7,3,539,244,783,11.628257751464844,25
rag,8,1,553,202,755,8.589022397994995,25
rag,8,2,553,201,754,10.977901697158813,25
rag,8,3,553,116,669,4.580904960632324,25
rag,9,1,524,170,694,6.535541534423828,25
rag,9,2,524,221,745,8.441680908203125,25
rag,9,3,524,270,794,10.876539707183838,25
rag,10,1,547,205,752,6.826516389846802,25
rag,10,2,547,192,739,6.483179092407227,25
rag,10,3,547,241,788,20.996423721313477,25
